sample_id,kind,modality,start_index,end_index_exclusive,delta_target_probability,delta_score
07,window,vision,37,41,0.0016915202140808105,0.008580803871154785
07,window,vision,41,45,0.002499401569366455,0.012847900390625
07,window,vision,45,49,0.012984931468963623,0.06749367713928223
08,modality,text,-1,-1,0.14053106307983398,0.7713491916656494
08,modality,audio,-1,-1,0.13857653737068176,-0.20951175689697266
08,modality,vision,-1,-1,0.07473507523536682,-0.1406916379928589
08,window,text,1,5,-0.031980276107788086,0.3644833564758301
08,window,text,5,9,0.06076449155807495,0.2620816230773926
08,window,text,9,12,0.01791432499885559,0.174559086561203
08,window,audio,1,5,0.008586287498474121,0.001332700252532959
08,window,audio,5,9,0.11409622430801392,-0.16481810808181763
08,window,audio,9,12,0.02150818705558777,-0.0342232882976532
08,window,vision,1,5,0.04529961943626404,-0.09305053949356079
08,window,vision,5,9,0.02210131287574768,-0.03028389811515808
08,window,vision,9,12,0.0026721954345703125,-0.0021297037601470947
09,modality,text,-1,-1,0.5603352189064026,-1.8884994983673096
09,modality,audio,-1,-1,0.003846883773803711,-0.14546418190002441
09,modality,vision,-1,-1,0.0005548000335693359,-0.07815515995025635
09,window,text,1,5,-0.00018078088760375977,-0.031936049461364746
09,window,text,5,9,0.012313425540924072,-0.15910100936889648
09,window,text,9,13,0.005279600620269775,-0.22740626335144043
09,window,text,13,17,0.007203221321105957,-0.13283824920654297
09,window,text,17,19,0.006494402885437012,-0.11975765228271484
09,window,audio,1,5,0.00019466876983642578,-0.012124300003051758
09,window,audio,5,9,0.00018268823623657227,-0.006057262420654297
09,window,audio,9,13,0.00011837482452392578,-0.005927562713623047
09,window,audio,13,17,0.0018344521522521973,-0.06458783149719238
09,window,audio,17,19,0.0007292628288269043,-0.03629195690155029
09,window,vision,1,5,8.672475814819336e-05,-0.00038504600524902344
09,window,vision,5,9,-1.245737075805664e-05,0.008185863494873047
09,window,vision,9,13,-0.00010001659393310547,-0.006018400192260742
09,window,vision,13,17,0.00017368793487548828,-0.05421304702758789
09,window,vision,17,19,0.00035583972930908203,-0.015737295150756836
10,modality,text,-1,-1,0.48978134989738464,-1.0515028238296509
10,modality,audio,-1,-1,0.0011566877365112305,0.04706263542175293
10,modality,vision,-1,-1,0.043975770473480225,-0.018057584762573242
10,window,text,1,5,-0.01713728904724121,0.12914621829986572
10,window,text,5,9,-0.015864968299865723,0.07816755771636963
10,window,text,9,13,-0.01919865608215332,0.08513510227203369
10,window,text,13,17,0.032163381576538086,-0.08234190940856934
10,window,text,17,21,0.020583152770996094,-0.10291987657546997
10,window,text,21,25,-0.02863091230392456,0.37570345401763916
10,window,text,25,29,0.2510440945625305,-0.7224980592727661
10,window,text,29,31,0.4340962767601013,-1.0627498626708984
10,window,audio,1,5,0.00020873546600341797,-0.004447579383850098
10,window,audio,5,9,-0.0063967108726501465,0.021193742752075195
10,window,audio,9,13,0.0002506375312805176,0.007977604866027832
10,window,audio,13,17,0.0002828836441040039,-0.008461475372314453
10,window,audio,17,21,0.004772841930389404,-0.0281255841255188
10,window,audio,21,25,-0.005190849304199219,0.04771292209625244
10,window,audio,25,29,0.005290091037750244,-0.01200801134109497
10,window,audio,29,31,0.0034270286560058594,0.01992744207382202
10,window,vision,1,5,0.0021848082542419434,-0.007842540740966797
10,window,vision,5,9,-3.5762786865234375e-05,0.0033354759216308594
10,window,vision,9,13,0.0011124610900878906,0.025312423706054688
10,window,vision,13,17,0.004304230213165283,-0.013903439044952393
10,window,vision,17,21,0.002018153667449951,0.0044438838958740234
10,window,vision,21,25,0.003208637237548828,0.009032726287841797
10,window,vision,25,29,0.014754652976989746,-0.05656695365905762
10,window,vision,29,31,0.006575226783752441,0.00654447078704834
11,modality,text,-1,-1,0.32854074239730835,-0.8028303384780884
11,modality,audio,-1,-1,-0.0429263710975647,0.0829627513885498
11,modality,vision,-1,-1,0.07122129201889038,-0.15239334106445312
11,window,text,1,5,0.7487391233444214,-1.2150826454162598
11,window,text,5,9,0.0004527568817138672,-0.01038825511932373
11,window,text,9,13,-0.0403711199760437,0.15799427032470703
11,window,text,13,15,-0.03668355941772461,0.14578092098236084
11,window,audio,1,5,-0.053254783153533936,0.1570296287536621
